Price,Model,km_driven,Fuel,Owner,Year,Company
543000,Maruti CelerioVXI CNG,5214,CNG,1,2023,Maruti
516000,Hyundai Grand i10ASTA,62999,CNG,1,2018,Hyundai
604000,Tata TiagoXZ PLUS,29753,CNG,1,2022,Tata
450000,Hyundai Grand i10SPORTZ,77181,CNG,1,2017,Hyundai
324000,Hyundai i10MAGNA 1.1,74416,Petrol,1,2015,Hyundai
379000,Hyundai Grand i10MAGNA,54749,Petrol,1,2017,Hyundai
476000,Maruti New Wagon-RZXI,22513,Petrol,1,2019,Maruti
350000,Maruti AltoLXI O,29582,Petrol,1,2021,Maruti
440000,Hyundai Grand i10ASTA,23400,Petrol,1,2016,Hyundai
915000,Hyundai CretaSX (O),94163,Diesel,1,2018,Hyundai
784000,Maruti Vitara BrezzaZXI,48306,Petrol,1,2021,Maruti
479000,Hyundai Elite i20MAGNA,93319,CNG,1,2016,Hyundai
540000,Hyundai VernaFLUIDIC 4S,61547,Petrol,1,2015,Hyundai
720000,KIA SONETHTK PLUS,66792,Petrol,1,2020,KIA
488000,Maruti New Wagon-RVXI,32508,Petrol,1,2021,Maruti
711000,Mahindra XUV300W6 1.2,16577,Petrol,2,2022,Mahindra
960000,Tata NEXONXZ PLUS,31465,Diesel,1,2022,Tata
782000,Hyundai NEW I20ASTA,11518,Petrol,1,2022,Hyundai
331000,Maruti AltoLXI CNG,97490,CNG,1,2019,Maruti
557000,Hyundai Elite i20SPORTZ,59653,Petrol,1,2019,Hyundai
612000,Honda Amaze1.2L I-VTEC,55549,Petrol,2,2021,Honda
400000,Hyundai Elite i20MAGNA,89167,CNG,2,2014,Hyundai
392000,Hyundai Grand i10ASTA,91562,CNG,2,2015,Hyundai
873000,Hyundai EXTERSX(O) CONNECT,13455,Petrol,1,2023,Hyundai
404000,Maruti AltoLXI OPT,42286,CNG,1,2022,Maruti
836999,Maruti FRONXDELTA PLUS,13516,Petrol,1,2023,Maruti
382000,Tata TiagoXZ PETROL,40641,Petrol,1,2017,Tata
405999,Tata TiagoXE PETROL,59246,Petrol,2,2021,Tata
600000,Hyundai Elite i20SPORTZ,52926,Petrol,1,2019,Hyundai
797000,Honda City1.5L I-VTEC,69777,Petrol,1,2019,Honda
694000,Tata TIGORXZ PLUS,39064,CNG,1,2022,Tata
363000,Maruti S PRESSOVXI,39482,Petrol,1,2019,Maruti
461000,Maruti BalenoZETA PETROL,72241,Petrol,1,2017,Maruti
1617000,Mahindra SCORPIO-NZ8 L,7900,Petrol,1,2023,Mahindra
679000,Hyundai Verna1.6 VTVT,64049,Petrol,2,2019,Hyundai
441000,Hyundai Grand i10ASTA,36120,Petrol,1,2015,Hyundai
700000,Maruti CiazALPHA 1.5,57293,Petrol,1,2021,Maruti
371000,Maruti Swift DzireVXI,37762,Petrol,1,2013,Maruti
530000,Tata ALTROZXZ PETROL,44969,Petrol,1,2020,Tata
677000,Honda City1.5L I-VTEC,51840,Petrol,1,2017,Honda
708000,Hyundai CretaE PLUS,67053,Petrol,1,2017,Hyundai
408000,Hyundai Grand i10SPORTZ,46840,Petrol,2,2018,Hyundai
844999,Volkswagen VentoHIGHLINE PLUS,45201,Petrol,1,2021,Volkswagen
674000,Nissan MAGNITEXV MT,14299,Petrol,1,2023,Nissan
627000,Hyundai NEW I20SPORTZ,58143,Petrol,1,2021,Hyundai
346000,Hyundai Grand i10MAGNA,58116,Petrol,1,2014,Hyundai
405999,Ford EcosportTITANIUM+ 1.0L,66302,Petrol,2,2016,Ford
394000,Hyundai Grand i10SPORTZ,49770,Petrol,1,2015,Hyundai
743000,Hyundai Verna1.6 VTVT,98122,Petrol,2,2017,Hyundai
289000,Hyundai i10ERA 1.1,47150,Petrol,1,2015,Hyundai
408000,Renault KwidRXT 1.0,18507,Petrol,1,2022,Renault
513999,Honda Amaze1.2L I-VTEC,27508,Petrol,1,2019,Honda
730000,Hyundai VENUESX 1.0,62715,Petrol,2,2021,Hyundai
372000,Honda Amaze1.2L I-VTEC,68391,Petrol,1,2015,Honda
332000,Maruti CelerioVXI,59387,Petrol,1,2016,Maruti
537000,Maruti BalenoZETA PETROL,25287,Petrol,1,2018,Maruti
1352000,Volkswagen VIRTUSGT PLUS,27475,Petrol,1,2022,Volkswagen
413999,Maruti BalenoDELTA PETROL,117045,Petrol,1,2017,Maruti
889000,Honda City1.5L I-VTEC,46804,Petrol,1,2022,Honda
1412000,Mahindra TharLX D,33900,Diesel,1,2022,Mahindra
513000,Maruti BalenoZETA PETROL,29058,Petrol,2,2020,Maruti
771000,Hyundai VENUES+ 1.2,18070,Petrol,1,2022,Hyundai
365000,Maruti Wagon R,38868,Petrol,2,2017,Maruti
830000,Hyundai NEW I20ASTA,6376,Petrol,1,2022,Hyundai
311000,Honda City1.5L I-VTEC,98840,Petrol,2,2013,Honda
575000,Maruti CiazDELTA DIESEL,77351,Diesel,1,2018,Maruti
580000,Tata ALTROZXM PLUS,27933,Petrol,1,2022,Tata
1873999,Mahindra SCORPIO-NZ8 L,17787,Diesel,1,2023,Mahindra
915000,KIA SONETHTK PLUS,11297,Petrol,1,2023,KIA
509999,Tata TiagoXZ PLUS,50531,Petrol,1,2022,Tata
360000,Maruti SwiftLXI,48075,Petrol,1,2014,Maruti
535000,Maruti BalenoZETA PETROL,58521,Petrol,2,2020,Maruti
1130000,Honda City1.5L I-VTEC,27255,Petrol,1,2023,Honda
440000,Hyundai Grand i10SPORTZ,33808,Petrol,1,2018,Hyundai
363000,Hyundai Grand i10MAGNA,44081,Petrol,2,2018,Hyundai
560000,Tata TiagoXZ PLUS,24313,Petrol,1,2022,Tata
1193000,KIA SELTOSHTK PLUS,13090,Petrol,1,2023,KIA
480000,Hyundai Grand i10SPORTZ,54963,Petrol,1,2018,Hyundai
413999,Hyundai NEW SANTROSPORTZ,35722,Petrol,1,2019,Hyundai
325000,Maruti AltoLXI O,36635,Petrol,1,2022,Maruti
542000,Hyundai AURASX+ 1.0,93513,Petrol,2,2020,Hyundai
685000,Renault DusterRXS CVT,72081,Petrol,1,2019,Renault
672000,Maruti CiazALPHA 1.5,39622,Petrol,1,2018,Maruti
500000,Hyundai XcentSX 1.2,73150,Petrol,1,2019,Hyundai
293000,Hyundai EonERA +,20168,Petrol,1,2017,Hyundai
569000,Honda Amaze1.2L I-VTEC,58255,CNG,1,2019,Honda
730000,Mahindra XUV300W6 1.2,16577,Petrol,1,2020,Mahindra
451999,Renault TRIBERRXT,44087,Petrol,2,2021,Renault
798000,Ford EcosportTITANIUM 1.5,33868,Petrol,1,2020,Ford
442000,Honda Amaze1.2L I-VTEC,71252,Petrol,1,2017,Honda
840000,Tata NEXONXZ PLUS,18126,Petrol,1,2021,Tata
808000,Hyundai EXTERSX 1.2,22219,CNG,1,2023,Hyundai
440000,Maruti New Wagon-RZXI,93156,Petrol,1,2019,Maruti
494000,Tata TiagoXT (O),17552,Petrol,1,2022,Tata
479000,Maruti BalenoDELTA PETROL,86790,Petrol,1,2019,Maruti
229999,Hyundai EonERA +,82105,CNG,1,2014,Hyundai
325000,Maruti Wagon R,47304,Petrol,1,2016,Maruti
576000,Hyundai AURAS 1.2,47646,Petrol,1,2020,Hyundai
400000,Maruti IGNISDELTA 1.2,84812,Petrol,1,2017,Maruti
372000,Honda Amaze1.2L I-VTEC,70766,Petrol,1,2016,Honda
770000,KIA SONETHTK 1.2,18019,Petrol,1,2023,KIA
303000,Honda BrioS MT,65786,Petrol,2,2016,Honda
975000,Hyundai VENUESX 1.5,72727,Diesel,1,2022,Hyundai
600000,Maruti CiazZETA 1.5,69440,Petrol,1,2019,Maruti
642000,Honda Amaze1.2L I-VTEC,19243,Petrol,1,2023,Honda
450000,Maruti BalenoDELTA PETROL,67779,Petrol,1,2017,Maruti
528000,Hyundai Elite i20ASTA,47019,Petrol,2,2017,Hyundai
520000,Maruti BalenoDELTA PETROL,31059,Petrol,1,2020,Maruti
422000,Maruti SwiftVXI,90378,Petrol,1,2016,Maruti
800000,KIA SONETHTK 1.2,24582,Petrol,1,2023,KIA
480000,Tata TiagoXZA PLUS,61313,CNG,1,2019,Tata
318000,Maruti Wagon R,58454,Petrol,1,2015,Maruti
382000,Renault KwidRXT 1.0,26472,Petrol,1,2019,Renault
430000,Hyundai Grand i10ASTA,78139,Petrol,1,2016,Hyundai
795000,Tata NEXONXZ PLUS,40395,Petrol,2,2021,Tata
312000,Skoda RapidELEGANCE 1.6,120903,Diesel,2,2013,Skoda
290000,Maruti AltoLXI,82406,Petrol,1,2020,Maruti
325000,Hyundai XcentS 1.2,101019,Petrol,1,2014,Hyundai
880000,KIA SONETGTX PLUS,50656,Petrol,1,2020,KIA
488000,Maruti CiazVXI+,53865,Petrol,1,2015,Maruti
2097000,Toyota Innova Crysta2.7,27819,Petrol,1,2022,Toyota
1610000,Tata HarrierXZ PLUS,33198,Diesel,1,2022,Tata
809000,Skoda RapidAMBITION AT,64669,Petrol,1,2021,Skoda
413000,Maruti Eeco5 STR,42541,Petrol,1,2018,Maruti
721000,Maruti DzireZXI Plus,34251,Petrol,2,2022,Maruti
320000,Maruti AltoLXI,90156,CNG,1,2019,Maruti
1103000,Tata NEXONFEARLESS +,3578,Petrol,1,2023,Tata
387000,Maruti SwiftVXI,50723,Petrol,1,2014,Maruti
440000,Maruti CelerioZXI AMT,71965,Petrol,1,2021,Maruti
755000,Tata NEXONXZ PLUS,64378,Petrol,1,2020,Tata
999000,Mahindra XUV300W8 (O),62352,Diesel,2,2022,Mahindra
482000,Maruti New Wagon-RLXI,42067,Petrol,1,2022,Maruti
522000,Ford EcosportTITANIUM 1.5L,70861,Diesel,2,2016,Ford
438000,Maruti CelerioVXI,27384,Petrol,1,2022,Maruti
495000,Honda City1.5L I-VTEC,72883,Petrol,1,2015,Honda
474000,Hyundai XcentS 1.2,62891,Petrol,1,2019,Hyundai
730000,Maruti XL6ALPHA MT,55580,Petrol,2,2019,Maruti
296000,Honda BrioS MT,66746,Petrol,1,2014,Honda
475000,Maruti CiazVXI+,72592,Petrol,1,2016,Maruti
505000,Hyundai Elite i20ASTA,53269,Petrol,2,2017,Hyundai
550000,Maruti BalenoDELTA PETROL,29329,Petrol,1,2021,Maruti
1337000,KIA CARENSPRESTIGE PLUS,14410,Petrol,1,2023,KIA
605000,Skoda RapidAMBITION 1.6,78940,Petrol,1,2019,Skoda
413000,Honda City1.5L I-VTEC,89947,Petrol,2,2014,Honda
415000,Maruti Swift DzireVXI,83285,Petrol,1,2015,Maruti
680000,Ford EcosportTITANIUM 1.5L,72873,Diesel,1,2018,Ford
450000,Hyundai Elite i20SPORTZ,85384,Petrol,1,2016,Hyundai
535000,Maruti BalenoALPHA PETROL,13030,Petrol,1,2017,Maruti
827999,Honda Amaze1.2L I-VTEC,10263,Petrol,1,2024,Honda
378000,Maruti Swift DzireVXI,90264,Petrol,1,2014,Maruti
585000,Tata TiagoXT CNG,65317,CNG,1,2022,Tata
365000,Honda Amaze1.2L I-VTEC,73394,Petrol,1,2015,Honda
318000,Maruti AltoVXI,65045,Petrol,1,2020,Maruti
340000,Honda BrioS MT,42451,Petrol,1,2016,Honda
533000,Maruti CiazDELTA DIESEL,61533,Diesel,1,2017,Maruti
453000,Hyundai NEW SANTROSPORTZ,53171,CNG,1,2019,Hyundai
434999,Maruti New Wagon-RZXI,63134,Petrol,1,2019,Maruti
430999,Ford EcosportTITANIUM 1.5L,64860,Petrol,2,2015,Ford
509000,Honda Amaze1.2L I-VTEC,74688,Petrol,1,2019,Honda
1026000,Mahindra XUV500W11 AT,98994,Diesel,1,2018,Mahindra
730000,Hyundai CretaSX PLUS,98772,Diesel,1,2016,Hyundai
1390000,Hyundai CretaSX (O),79594,Diesel,1,2021,Hyundai
455000,Maruti BalenoDELTA PETROL,40884,Petrol,1,2017,Maruti
405000,Maruti SwiftVXI,60268,Petrol,1,2016,Maruti
227000,Datsun Redi GoT(O),54625,Petrol,1,2018,Datsun
405000,Maruti IGNISDELTA 1.2,72325,Petrol,1,2017,Maruti
509999,Honda Amaze1.2L I-VTEC,58840,Petrol,1,2018,Honda
994000,MG HECTORSHARP HYBRID,37443,Petrol,2,2019,MG
775000,Hyundai VENUESX 1.0,32039,Petrol,1,2019,Hyundai
1610000,Tata HarrierXZA PLUS,20234,Diesel,2,2022,Tata
530000,Tata TiagoXZA PLUS,29731,Petrol,1,2021,Tata
409999,Hyundai NEW SANTROSPORTZ,33737,Petrol,1,2021,Hyundai
617000,Maruti BalenoZETA PETROL,25836,Petrol,1,2021,Maruti
833000,KIA SONETHTX 1.0,28778,Petrol,1,2021,KIA
421000,Maruti CelerioVXI CNG,69762,CNG,1,2020,Maruti
596000,Tata NEXONXZ PETROL,52770,Petrol,1,2020,Tata
973000,Mahindra XUV500W11,96791,Diesel,1,2019,Mahindra
393000,Hyundai Grand i10SPORTZ,71212,Petrol,1,2015,Hyundai
470000,Maruti BalenoZETA PETROL,95620,Petrol,1,2018,Maruti
